Game,Score
007legends,0
0rbitalis,0
123kickitdropthatbeatlikeanuglybaby,0
10secondninja,90
10000000,90
100orangejuice,93
1000amps,75
12laboursofhercules,93
12laboursofherculesiithecretanbull,90
12laboursofherculesiiigirlpower,87
140,94
15days,0
16bittrader,0
1701adsunkendragon,0
18wheelsofsteelamericanlonghaul,75
1953natovswarsawpact,0
1quest,0
3starsofdestiny,70
3089futuristicactionrpg,77
3dminigolf,0
3dmark,93
3dmark11,85
3dmarkvantage,90
4elements,0
404sight,85
500yearsact1,0
60seconds,84
7daystodie,88
8bitboy,73
8bitmmo,0
9clues2theward,90
9cluesthesecretofserpentcreek,89
903m,83
99levelstohell,0
99spirits,74
abirdstory,84
agameofthronesgenesis,77
agoldenwake,75
anewbeginningfinalcut,74
astoryaboutmyuncle,92
avalleywithoutwind,0
avalleywithoutwind2,0
avirusnamedtom,72
awalkinthedark,79
atrain8,0
ares,71
aresextinctionagendaex,70
avaallianceofvaliantarms,0
acearenacyberevolution,0
acecombatassaulthorizonenhancededition,0
aiwarfleetcommand,0
aionfreetoplay,0
akibastripundeadundressed,85
apbreloaded,0
apox,94
ark,0
arksurvivalevolved,83
axyos,0
azmdscorepocalypse,75
aaaaaaarecklessdisregardforgravity,83
aaaaaaaaaaaaaaaaaaaaaaaaafortheawesome,81
abandonedchestnutlodgeasylum,80
abducted,0
aberoth,0
abscondingzatwor,0
absolutedrift,90
abyssodyssey,0
abyssthewraithsofeden,89
aceofspades,0
aceswildmanicbrawlingaction,77
achron,0
actofaggression,0
actiongameplayrecordingandstreaming,86
actualsunlight,74
adventurecapitalist,88
adventurechroniclesthesearchforlosttreasure,0
adventurepark,0
adventuretimeexplorethedungeonbecauseidontknow,0
adventurermanager,0
adventuresofbertramfiddleepisode1adreadlybusiness,86
adventuresofshuggy,89
aeoncommand,78
aerena,0
afterfallinsanitydirtyarenaedition,0
afterfallinsanityextendededition,0
afterlifeempire,0
aftermath,0
agarestgenerationsofwar,71
agarestzero,72
ageofchivalry,87
ageofconanriseofthegodslayer,0
ageofconanunchainedeuversion,0
ageofempiresiihdedition,0
ageofempiresiiicompletecollection,0
ageofempiresonline,0
ageofmythologyextendededition,93
ageofwonders,81
ageofwonders2,81
ageofwondersiii,81
ageofwondersshadowmagic,0
aggressioneuropeunderfire,0
agriculturalsimulator2011extendededition,0
agriculturalsimulator2013steamedition,0
aion,0
aioncollectorsedition,0
airbrawl,78
airconflictssecretwars,73
airconflictspacificcarriers,0
airbuccaneers,0
airmech,84
airlinetycoon2,0
airlinetycoondeluxe,83
airportmadnessworldedition,78
airportsimulator2014,0
akanethekunoichi,0
akaneirodemonhunters,94
akuatica,0
alanwake,90
alanwakesamericannightmare,71
albinolullabyepisode1,0
alchemymysteriespraguelegends,76
alexhunterlordofthemind,0
alganon,0
alicemadnessreturns,89
alienbreed2assault,76
alienbreed3descent,77
alienbreedimpact,78
alienisolation,92
alienrageunlimited,0
alienshooterrevisited,81
alienshootervengeance,0
alienswarm,93
alienscolonialmarines,0
aliensversuspredatorclassic2000,0
aliensvspredator,0
allisdust,0
allzombiesmustdie,0
aloneinthedark,77
alphakimoriepisodeone,76
alphaprime,0
alphaprotocol,0
alterworld,0
altitude,92
alwayssometimesmonsters,79
amazingadventuresaroundtheworld,0
amazingadventuresthelosttomb,0
amazingprincesssarah,0
amazingworld,0
americasarmy3,70
americasarmyprovinggrounds,78
americanconquest,0
americanconquestfightback,0
amnesiaamachineforpigs,0
amnesiamemories,92
amnesiathedarkdescent,0
amongripples,0
amongthesleep,88
amputea,0
anassassininorlandes,91
anachronox,75
analogueahatestory,94
anarchyarcade,0
ancientplanet,83
ancientspace,0
andyetitmoves,0
angelsfallfirst,81
angelsoffasariaversion20,0
angrybirdsspace,89
angryvideogamenerdadventures,89
angvik,88
annaextendededition,0
annasquest,88
anno1404,82
anno1404venice,90
anno2070,0
anno2205,0
annoonline,0
anodyne,86
anomaly2,78
anomalykorea,71
anomalywarzoneearth,85
anomalywarzoneearthmobilecampaign,78
anotherperspective,93
anotherworld,84
anoxemia,0
antichamber,95
antisquad,0
aperturetagthepaintguntestinginitiative,83
apollo4x,0
apotheon,90
apotheonarena,82
aquakittymilkminedefender,87
aquanox,0
aquaria,90
arcadia,74
arcaneworlds,0
arcania,0
archeage,0
archeblade,73
archonclassic,91
arcticcombat,0
arma2,91
arma2britisharmedforces,74
arma2dayzmod,83
arma2free,0
arma2operationarrowhead,0
arma2operationarrowheadbetaobsolete,0
arma2privatemilitarycompany,77
arma3,91
armacoldwarassault,85
armacombatoperations,91
armatactics,0
armada2526,0
armello,82
armikrog,0
armsdealer,0
artragestudiopro,0
artemisspaceshipbridgesimulator,88
arxfatalis,0
ascendhandofkul,0
ascendant,0
ashesofthesingularity,0
assassinscreed,82
assassinscreedbrotherhood,0
assassinscreedfreedomcry,76
assassinscreedii,74
assassinscreediii,74
assassinscreedivblackflag,73
assassinscreedrevelations,84
assassinscreedrogue,85
assassinscreedsyndicate,80
assassinscreedchronicleschina,73
assassinscreedunity,77
assaultandroidcactus,94
assettocorsa,92
astebreed,0
asteria,0
asteroidsoutpost,0
astrolords,0
atlanticaonline,0
